,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,21VIANET GROUP INC,SPONSORED ADR,90138A103,32934,1829689,SH,SOLE,1829689,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
1,58 COM INC,SPON ADR REP A,31680Q104,1673,44900,SH,SOLE,44900,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
2,AIRMEDIA GROUP INC,SPONSORED ADR,009411109,262,150460,SH,SOLE,150460,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
3,BAIDU INC,SPON ADR REP A,056752108,33793,154850,SH,SOLE,154850,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
4,BONA FILM GROUP LTD,SPONSORED ADS,09777B107,3005,500000,SH,SOLE,500000,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
5,CAMECO CORP,COM,13321L108,18114,1025700,SH,SOLE,1025700,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
6,CHEETAH MOBILE INC,ADR,163075104,15412,844500,SH,SOLE,844500,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
7,CHINA LODGING GROUP LTD,SPONSORED ADR,16949N109,5666,219878,SH,SOLE,219878,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
8,CTRIP COM INTL LTD,AMERICAN DEP SHS,22943F100,213143,3755166,SH,SOLE,3755166,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
9,E-COMMERCE CHINA DANGDANG IN,SPN ADS COM A,26833A105,13270,1087724,SH,SOLE,1087724,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
10,MOBILEIRON INC,COM NEW,60739U204,21222,1905000,SH,SOLE,1905000,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
11,MONDELEZ INTL INC,CL A,609207105,318716,9301496,SH,SOLE,9301496,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
12,QUNAR CAYMAN IS LTD,SPNS ADR CL B,74906P104,18888,683096,SH,SOLE,683096,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
13,SOHU COM INC,COM,83408W103,82916,1650727,SH,SOLE,1650727,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
14,SUNGY MOBILE LTD,ADR REP ORD A,86737M100,2026,310765,SH,SOLE,310765,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
15,XUNLEI LTD,SPONSORED ADR,98419E108,4333,403041,SH,SOLE,403041,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
16,YAHOO INC,COM,984332106,15650,384058,SH,SOLE,384058,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
17,YOUKU TUDOU INC,SPONSORED ADR,98742U100,7897,440654,SH,SOLE,440654,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
18,ZENDESK INC,COM,98936J101,6984,323500,SH,SOLE,323500,0,0,2014-09-30,2014Q3,"Hillhouse Capital Management, Ltd.",0001510589
