,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,21VIANET GROUP INC,SPONSORED ADR,90138A103,38929,2129600,SH,SOLE,2129600,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
1,58 COM INC,SPON ADR REP A,31680Q104,32765,696394,SH,SOLE,696394,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
2,BAOZUN INC,SPONSORED ADR,06684L103,2410,500000,SH,SOLE,500000,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
3,BONA FILM GROUP LTD,SPONSORED ADS,09777B107,5955,500000,SH,SOLE,500000,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
4,CAMECO CORP,COM,13321L108,12483,1025700,SH,SOLE,1025700,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
5,CHEETAH MOBILE INC,ADR,163075104,6630,458476,SH,SOLE,458476,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
6,CHINA LODGING GROUP LTD,SPONSORED ADR,16949N109,5350,219878,SH,SOLE,219878,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
7,CTRIP COM INTL LTD,AMERICAN DEP SHS,22943F100,236157,3737843,SH,SOLE,3737843,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
8,E-COMMERCE CHINA DANGDANG IN,SPN ADS COM A,26833A105,6494,1087724,SH,SOLE,1087724,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
9,JD COM INC,SPON ADR CL A,47215P106,3560009,136608192,SH,SOLE,136608192,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
10,LENDINGCLUB CORP,COM,52603A109,1323,100000,SH,SOLE,100000,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
11,MAKEMYTRIP LIMITED MAURITIUS,SHS,V5633W109,19660,1429800,SH,SOLE,1429800,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
12,MINDRAY MEDICAL INTL LTD,SPON ADR,602675100,24671,1128071,SH,SOLE,1128071,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
13,MOBILEIRON INC,COM NEW,60739U204,3436,1108490,SH,SOLE,1108490,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
14,MOMO INC,ADR,60879B107,61047,4883784,SH,SOLE,4883784,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
15,MONDELEZ INTL INC,CL A,609207105,389454,9301496,SH,SOLE,9301496,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
16,NEW RELIC,COM,64829B100,343,9000,SH,SOLE,9000,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
17,QUNAR CAYMAN IS LTD,SPNS ADR CL B,74906P104,202854,6746067,SH,SOLE,6746067,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
18,SALESFORCE COM INC,COM,79466L302,3314,47737,SH,SOLE,47737,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
19,SOHU COM INC,COM,83408W103,68175,1650727,SH,SOLE,1650727,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
20,SOUFUN HLDGS LTD,ADR,836034108,9900,1500000,SH,SOLE,1500000,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
21,TABLEAU SOFTWARE INC,CL A,87336U105,1963,24603,SH,SOLE,24603,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
22,TAL ED GROUP,ADS REPSTG COM,874080104,19255,598920,SH,SOLE,598920,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
23,TRUECAR INC,COM,89785L107,2223,426667,SH,SOLE,426667,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
24,VIPSHOP HLDGS LTD,SPONSORED ADR,92763W103,29210,1738700,SH,SOLE,1738700,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
25,WORKDAY INC,CL A,98138H101,579,8415,SH,SOLE,8415,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
26,WUXI PHARMATECH CAYMAN INC,SPONS ADR SHS,929352102,50862,1177079,SH,SOLE,1177079,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
27,XUNLEI LTD,SPONSORED ADR,98419E108,2942,403041,SH,SOLE,403041,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
28,YOUKU TUDOU INC,SPONSORED ADR,98742U100,116965,6634430,SH,SOLE,6634430,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
29,ZENDESK INC,COM,98936J101,3242,164496,SH,SOLE,164496,0,0,2015-09-30,2015Q3,"Hillhouse Capital Management, Ltd.",0001510589
