,Name of Issuer,Title of Class,CUSIP,Value,SHRS OR SH,PRN AMT PRN,Investment Discretion,Voting Authority_Sole,Voting Authority_Shared,Voting Authority_None,Date,Period,Filing Manager,CIK
0,58 COM INC,SPON ADR REP A,31680Q104,2427,44900,SH,SOLE,44900,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
1,AIRMEDIA GROUP INC,SPONSORED ADR,009411109,343,150460,SH,SOLE,150460,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
2,BAIDU INC,SPON ADR REP A,056752108,28928,154850,SH,SOLE,154850,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
3,BITAUTO HLDGS LTD,SPONSORED ADS,091727107,3223,66183,SH,SOLE,66183,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
4,BONA FILM GROUP LTD,SPONSORED ADS,09777B107,3100,500000,SH,SOLE,500000,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
5,CHANGYOU COM LTD,ADS REP CL A,15911M107,11891,457700,SH,SOLE,457700,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
6,CHEETAH MOBILE INC,ADR,163075104,4673,220000,SH,SOLE,220000,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
7,CHINA LODGING GROUP LTD,SPONSORED ADR,16949N109,5519,219878,SH,SOLE,219878,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
8,CTRIP COM INTL LTD,AMERICAN DEP SHS,22943F100,240481,3755166,SH,SOLE,3755166,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
9,E-COMMERCE CHINA DANGDANG IN,SPN ADS COM A,26833A105,14554,1087724,SH,SOLE,1087724,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
10,JUMEI INTL HLDG LTD,SPONSORED ADR,48138L107,3264,120000,SH,SOLE,120000,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
11,MOBILEIRON INC,COM NEW,60739U204,18136,1905000,SH,SOLE,1905000,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
12,MONDELEZ INTL INC,CL A,609207105,349829,9301496,SH,SOLE,9301496,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
13,QUNAR CAYMAN IS LTD,SPNS ADR CL B,74906P104,19502,683096,SH,SOLE,683096,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
14,SOHU COM INC,COM,83408W103,95230,1650727,SH,SOLE,1650727,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
15,SUNGY MOBILE LTD,ADR REP ORD A,86737M100,8325,603665,SH,SOLE,603665,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
16,TUNIU CORP,SPONSORED ADS CL,89977P106,4408,250000,SH,SOLE,250000,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
17,VIPSHOP HLDGS LTD,SPONSORED ADR,92763W103,18497,98527,SH,SOLE,98527,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
18,YAHOO INC,COM,984332106,40706,1158732,SH,SOLE,1158732,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
19,YOUKU TUDOU INC,SPONSORED ADR,98742U100,10514,440654,SH,SOLE,440654,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
20,ZENDESK INC,COM,98936J101,5622,323500,SH,SOLE,323500,0,0,2014-06-30,2014Q2,"Hillhouse Capital Management, Ltd.",0001510589
